"ID","r0_total","r1_total","r2_total","r3_total","total","filename","date","strain","treatment","host_present","rstatus","experimenter","experimentlabel","country","site","valid_frames","r0prop","r1prop","r2prop","r3prop","tophalftot","bottomhalftot","tophalfprop","bottomhalfprop","prev_key","tot_t_5","tot_t_10","tot_t_15","tot_t_20","tot_t_25","tot_t_30","tot_t_35","tot_t_40","tot_t_45","tot_t_50","tot_t_55","tot_t_60","tot_t_65","tot_t_70","tot_t_75","tot_t_80","tot_t_85","tot_t_90","tot_t_95","tot_t_100","tot_t_105","tot_t_110","tot_t_115","tot_t_120","tot_t_125","tot_t_130","tot_t_135","tot_t_140","tot_t_145","tot_t_150","tot_t_155","tot_t_160","tot_t_165","tot_t_170","tot_t_175","tot_t_180","R0_t_5","R0_t_10","R0_t_15","R0_t_20","R0_t_25","R0_t_30","R0_t_35","R0_t_40","R0_t_45","R0_t_50","R0_t_55","R0_t_60","R0_t_65","R0_t_70","R0_t_75","R0_t_80","R0_t_85","R0_t_90","R0_t_95","R0_t_100","R0_t_105","R0_t_110","R0_t_115","R0_t_120","R0_t_125","R0_t_130","R0_t_135","R0_t_140","R0_t_145","R0_t_150","R0_t_155","R0_t_160","R0_t_165","R0_t_170","R0_t_175","R0_t_180","R1_t_5","R1_t_10","R1_t_15","R1_t_20","R1_t_25","R1_t_30","R1_t_35","R1_t_40","R1_t_45","R1_t_50","R1_t_55","R1_t_60","R1_t_65","R1_t_70","R1_t_75","R1_t_80","R1_t_85","R1_t_90","R1_t_95","R1_t_100","R1_t_105","R1_t_110","R1_t_115","R1_t_120","R1_t_125","R1_t_130","R1_t_135","R1_t_140","R1_t_145","R1_t_150","R1_t_155","R1_t_160","R1_t_165","R1_t_170","R1_t_175","R1_t_180","R2_t_5","R2_t_10","R2_t_15","R2_t_20","R2_t_25","R2_t_30","R2_t_35","R2_t_40","R2_t_45","R2_t_50","R2_t_55","R2_t_60","R2_t_65","R2_t_70","R2_t_75","R2_t_80","R2_t_85","R2_t_90","R2_t_95","R2_t_100","R2_t_105","R2_t_110","R2_t_115","R2_t_120","R2_t_125","R2_t_130","R2_t_135","R2_t_140","R2_t_145","R2_t_150","R2_t_155","R2_t_160","R2_t_165","R2_t_170","R2_t_175","R2_t_180","R3_t_5","R3_t_10","R3_t_15","R3_t_20","R3_t_25","R3_t_30","R3_t_35","R3_t_40","R3_t_45","R3_t_50","R3_t_55","R3_t_60","R3_t_65","R3_t_70","R3_t_75","R3_t_80","R3_t_85","R3_t_90","R3_t_95","R3_t_100","R3_t_105","R3_t_110","R3_t_115","R3_t_120","R3_t_125","R3_t_130","R3_t_135","R3_t_140","R3_t_145","R3_t_150","R3_t_155","R3_t_160","R3_t_165","R3_t_170","R3_t_175","R3_t_180"
1,49,1476,834,73,2432,"_IMG_0055_FA_UT_071222.mp4",2026-04-22,"FA","UT","HOST","SUSCEPTIBLE","JC","","LSTM","TL2",1,0.0201480263157895,0.606907894736842,0.342927631578947,0.0300164473684211,1525,907,0.627055921052632,0.372944078947368,"test001",23,53,48,6,12,52,48,88,48,51,49,88,95,132,97,70,118,117,19,11,0,95,171,107,59,42,44,100,104,40,47,83,71,90,77,77,0,0,3,0,0,2,2,1,0,3,5,0,0,6,12,0,0,0,0,0,0,0,4,6,0,0,0,0,5,0,0,0,0,0,0,0,18,36,41,6,12,21,35,66,48,28,29,43,21,54,32,46,91,70,19,11,0,72,150,87,59,42,44,82,85,1,0,7,6,45,28,41,0,13,4,0,0,13,7,10,0,20,15,45,70,72,53,24,27,29,0,0,0,15,15,14,0,0,0,17,14,39,47,76,65,45,49,36,5,4,0,0,0,16,4,11,0,0,0,0,4,0,0,0,0,18,0,0,0,8,2,0,0,0,0,1,0,0,0,0,0,0,0,0
2,38,1198,530,57,1823,"_IMG_0056_FA_UT_071222.mp4",2026-04-22,"FA","UT","HOST","SUSCEPTIBLE","JC","","LSTM","TL2",1,0.0208447613823368,0.657158529895776,0.290729566648382,0.0312671420735052,1236,587,0.678003291278113,0.321996708721887,"test002",78,68,33,12,47,40,112,122,136,149,61,44,50,66,96,98,9,0,11,4,100,84,89,0,42,47,21,34,33,0,4,23,54,49,7,0,0,0,0,0,0,0,0,3,13,7,1,2,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,60,33,0,47,40,102,54,54,104,45,27,21,50,62,62,0,0,0,0,39,44,44,0,39,47,21,7,24,0,4,23,35,25,7,0,0,0,0,0,0,0,10,62,63,38,15,13,25,16,24,23,9,0,11,4,61,31,45,0,3,0,0,27,9,0,0,0,19,22,0,0,0,8,0,12,0,0,0,3,6,0,0,2,4,0,4,7,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0
3,4,558,324,80,966,"_IMG_0057_FA_UT_071222.mp4",2026-04-22,"FA","UT","HOST","SUSCEPTIBLE","JC","","LSTM","TL2",1,0.0041407867494824,0.577639751552795,0.335403726708075,0.082815734989648,562,404,0.581780538302277,0.418219461697723,"test003",0,1,19,0,0,0,0,43,57,49,48,46,50,63,88,96,89,54,48,92,83,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,32,20,25,32,21,17,46,55,74,14,36,68,63,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12,23,23,9,22,41,38,41,14,27,11,20,19,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,0,0,0,0,3,13,6,0,2,7,5,4,0,1,13,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,198,41,3,244,"_IMG_0076_FA_UT_180123-10.mp4",2026-04-22,"FA","UT","HOST","SUSCEPTIBLE","JC","","LSTM","TL2",1,0.00819672131147541,0.811475409836066,0.168032786885246,0.0122950819672131,200,44,0.819672131147541,0.180327868852459,"test004",29,0,0,0,0,0,0,61,50,0,0,0,10,2,36,20,0,0,0,0,22,0,0,0,0,0,0,0,13,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,60,50,0,0,0,0,0,8,17,0,0,0,0,22,0,0,0,0,0,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,2,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,8,835,334,100,1277,"_IMG_0077_FA_UT_180123-11.mp4",2026-04-22,"FA","UT","HOST","SUSCEPTIBLE","JC","","LSTM","TL2",1,0.0062646828504307,0.653876272513704,0.261550509005482,0.0783085356303837,843,434,0.660140955364135,0.339859044635865,"test005",0,1,35,10,44,27,0,0,0,67,77,67,23,12,47,16,29,72,28,51,75,35,51,43,50,39,59,118,28,0,0,0,0,16,70,87,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,19,10,35,27,0,0,0,50,67,47,18,0,46,12,0,47,28,51,40,29,16,34,43,9,59,73,7,0,0,0,0,16,25,27,0,1,16,0,9,0,0,0,0,8,8,20,5,12,1,4,29,24,0,0,24,6,27,9,7,5,0,37,19,0,0,0,0,0,31,32,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,11,0,7,0,0,25,0,7,0,0,0,0,0,0,14,28
6,0,344,214,77,635,"_IMG_0078_FA_UT_180123-12.mp4",2026-04-22,"FA","UT","HOST","SUSCEPTIBLE","JC","","LSTM","TL2",1,0,0.541732283464567,0.337007874015748,0.121259842519685,344,291,0.541732283464567,0.458267716535433,"test006",45,47,16,0,0,0,0,0,0,90,75,32,0,0,0,0,0,0,46,28,44,53,35,0,0,0,0,45,39,34,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,0,0,0,0,0,0,0,80,63,32,0,0,0,0,0,0,2,0,3,25,13,0,0,0,0,45,39,24,0,0,0,0,0,0,33,22,0,0,0,0,0,0,0,5,12,0,0,0,0,0,0,0,42,28,41,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,16,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,1,18,0,0,0,0,0,0,10,1,0,5,0,0,0
7,49,1200,264,158,1671,"_IMG_0109_FA_UT_240123-43.mp4",2026-04-22,"FA","UT","HOST","SUSCEPTIBLE","JC","","LSTM","TL2",1,0.0293237582286056,0.718132854578097,0.157989228007181,0.0945541591861161,1249,422,0.747456612806703,0.252543387193297,"test007",0,115,51,41,51,90,97,53,23,3,105,79,53,63,74,43,17,51,17,18,46,46,40,1,77,20,29,2,45,83,8,0,8,46,68,108,0,1,0,0,0,0,0,4,0,0,0,16,7,0,0,0,0,6,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,93,39,32,21,25,39,29,6,3,98,63,46,51,74,39,1,45,16,18,46,21,35,1,71,20,27,2,45,38,0,0,0,0,54,102,0,20,12,6,10,10,11,12,0,0,6,0,0,12,0,4,16,0,0,0,0,10,5,0,5,0,2,0,0,45,8,0,8,46,12,4,0,1,0,3,20,55,47,8,17,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,2
8,149,1671,360,141,2321,"_IMG_0110_FA_UT_240123-44.mp4",2026-04-22,"FA","UT","HOST","SUSCEPTIBLE","JC","","LSTM","TL2",1,0.0641964670400689,0.71994829814735,0.15510555794916,0.0607496768634209,1820,501,0.784144765187419,0.215855234812581,"test008",54,0,119,97,70,111,99,43,42,76,58,84,49,44,54,0,36,108,86,42,64,66,23,0,0,37,49,96,128,153,128,75,50,46,46,88,0,0,0,1,4,2,11,0,0,1,5,2,7,3,1,0,0,1,7,21,10,0,0,0,0,0,0,1,10,8,14,15,11,0,3,11,54,0,105,77,44,88,61,33,11,63,36,70,21,22,23,0,23,73,66,5,49,53,23,0,0,37,49,91,77,128,75,53,22,34,43,62,0,0,13,17,22,19,25,9,28,10,9,10,11,13,8,0,6,15,11,16,3,1,0,0,0,0,0,3,35,14,33,7,9,0,0,13,0,0,1,2,0,2,2,1,3,2,8,2,10,6,22,0,7,19,2,0,2,12,0,0,0,0,0,1,6,3,6,0,8,12,0,2
9,42,436,224,125,827,"_IMG_0111_FA_UT_240123-45.mp4",2026-04-22,"FA","UT","HOST","SUSCEPTIBLE","JC","","LSTM","TL2",1,0.0507859733978235,0.52720677146312,0.270858524788392,0.151148730350665,478,349,0.577992744860943,0.422007255139057,"test009",26,45,0,26,51,0,0,26,42,45,63,15,0,0,0,0,0,0,0,0,0,0,0,65,98,80,32,23,26,27,37,40,50,10,0,0,0,4,0,2,0,0,0,0,3,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,12,0,0,0,0,0,14,0,9,10,0,0,14,25,17,32,14,0,0,0,0,0,0,0,0,0,0,0,43,64,45,26,2,26,27,25,28,15,0,0,0,25,10,0,15,7,0,0,12,14,13,13,1,0,0,0,0,0,0,0,0,0,0,0,16,20,34,6,4,0,0,3,0,21,10,0,0,1,17,0,0,34,0,0,0,0,6,16,0,0,0,0,0,0,0,0,0,0,0,0,6,13,1,0,17,0,0,0,0,14,0,0,0
10,98,1726,485,231,2540,"_IMG_0120_FA_UT_260123-52.mp4",2026-04-22,"FA","UT","HOST","SUSCEPTIBLE","JC","","LSTM","TL2",0.993,0.0385826771653543,0.679527559055118,0.190944881889764,0.0909448818897638,1824,716,0.718110236220472,0.281889763779528,"test010",30,26,25,21,134,133,89,112,97,114,89,77,34,41,77,86,82,85,105,146,71,26,11,69,49,55,58,74,46,23,24,29,107,126,90,79,0,0,0,0,0,8,26,13,3,0,0,0,0,12,0,5,0,0,7,15,0,0,0,3,1,0,5,0,0,0,0,0,0,0,0,0,30,0,0,21,121,95,61,99,92,114,82,42,34,29,77,77,82,66,40,56,23,6,2,52,47,30,36,29,21,21,24,10,19,79,63,46,0,0,0,0,11,30,2,0,2,0,5,13,0,0,0,4,0,19,55,56,27,20,9,12,1,9,7,0,0,0,0,18,78,47,27,33,0,26,25,0,2,0,0,0,0,0,2,22,0,0,0,0,0,0,3,19,21,0,0,2,0,16,10,45,25,2,0,1,10,0,0,0
11,28,225,111,106,470,"_IMG_0121_FA_UT_260123-53.mp4",2026-04-22,"FA","UT","HOST","SUSCEPTIBLE","JC","","LSTM","TL2",0.993,0.0595744680851064,0.478723404255319,0.236170212765957,0.225531914893617,253,217,0.538297872340426,0.461702127659574,"test011",59,0,0,0,0,0,0,0,19,44,65,36,93,61,66,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,6,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,7,19,24,25,39,14,54,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,7,16,27,2,11,15,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,12,8,37,23,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,46,1121,372,144,1683,"_IMG_0122_FA_UT_260123-54.mp4",2026-04-22,"FA","UT","HOST","SUSCEPTIBLE","JC","","LSTM","TL2",1,0.0273321449792038,0.666072489601901,0.221033868092692,0.0855614973262032,1167,516,0.693404634581105,0.306595365418895,"test012",75,117,40,61,52,24,75,29,48,30,54,53,50,50,57,49,53,51,51,102,2,25,101,117,59,39,32,47,62,28,0,19,31,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,8,19,0,0,0,0,5,4,0,1,2,0,0,0,0,0,0,0,0,73,83,40,61,52,23,40,9,16,30,39,39,50,20,51,49,36,43,28,48,1,25,47,53,35,13,22,26,32,16,0,18,3,0,0,0,1,28,0,0,0,1,22,20,32,0,10,7,0,21,6,0,14,0,4,28,1,0,21,50,20,26,5,12,30,5,0,1,7,0,0,0,1,6,0,0,0,0,13,0,0,0,0,5,0,9,0,0,3,0,0,26,0,0,33,9,0,0,4,7,0,7,0,0,21,0,0,0
