"ID","r0_total","r1_total","r2_total","r3_total","total","filename","date","strain","treatment","host_present","rstatus","experimenter","experimentlabel","country","site","valid_frames","r0prop","r1prop","r2prop","r3prop","tophalftot","bottomhalftot","tophalfprop","bottomhalfprop","prev_key","tot_t_5","tot_t_10","tot_t_15","tot_t_20","tot_t_25","tot_t_30","tot_t_35","tot_t_40","tot_t_45","tot_t_50","tot_t_55","tot_t_60","tot_t_65","tot_t_70","tot_t_75","tot_t_80","tot_t_85","tot_t_90","tot_t_95","tot_t_100","tot_t_105","tot_t_110","tot_t_115","tot_t_120","tot_t_125","tot_t_130","tot_t_135","tot_t_140","tot_t_145","tot_t_150","tot_t_155","tot_t_160","tot_t_165","tot_t_170","tot_t_175","tot_t_180","R0_t_5","R0_t_10","R0_t_15","R0_t_20","R0_t_25","R0_t_30","R0_t_35","R0_t_40","R0_t_45","R0_t_50","R0_t_55","R0_t_60","R0_t_65","R0_t_70","R0_t_75","R0_t_80","R0_t_85","R0_t_90","R0_t_95","R0_t_100","R0_t_105","R0_t_110","R0_t_115","R0_t_120","R0_t_125","R0_t_130","R0_t_135","R0_t_140","R0_t_145","R0_t_150","R0_t_155","R0_t_160","R0_t_165","R0_t_170","R0_t_175","R0_t_180","R1_t_5","R1_t_10","R1_t_15","R1_t_20","R1_t_25","R1_t_30","R1_t_35","R1_t_40","R1_t_45","R1_t_50","R1_t_55","R1_t_60","R1_t_65","R1_t_70","R1_t_75","R1_t_80","R1_t_85","R1_t_90","R1_t_95","R1_t_100","R1_t_105","R1_t_110","R1_t_115","R1_t_120","R1_t_125","R1_t_130","R1_t_135","R1_t_140","R1_t_145","R1_t_150","R1_t_155","R1_t_160","R1_t_165","R1_t_170","R1_t_175","R1_t_180","R2_t_5","R2_t_10","R2_t_15","R2_t_20","R2_t_25","R2_t_30","R2_t_35","R2_t_40","R2_t_45","R2_t_50","R2_t_55","R2_t_60","R2_t_65","R2_t_70","R2_t_75","R2_t_80","R2_t_85","R2_t_90","R2_t_95","R2_t_100","R2_t_105","R2_t_110","R2_t_115","R2_t_120","R2_t_125","R2_t_130","R2_t_135","R2_t_140","R2_t_145","R2_t_150","R2_t_155","R2_t_160","R2_t_165","R2_t_170","R2_t_175","R2_t_180","R3_t_5","R3_t_10","R3_t_15","R3_t_20","R3_t_25","R3_t_30","R3_t_35","R3_t_40","R3_t_45","R3_t_50","R3_t_55","R3_t_60","R3_t_65","R3_t_70","R3_t_75","R3_t_80","R3_t_85","R3_t_90","R3_t_95","R3_t_100","R3_t_105","R3_t_110","R3_t_115","R3_t_120","R3_t_125","R3_t_130","R3_t_135","R3_t_140","R3_t_145","R3_t_150","R3_t_155","R3_t_160","R3_t_165","R3_t_170","R3_t_175","R3_t_180"
1,144,2666,674,217,3701,"_IMG_0059_FA_P3_071222.mp4",2026-04-22,"FA","P3","HOST","SUSCEPTIBLE","JC","","LSTM","TL2",0.993,0.038908403134288,0.720345852472305,0.182112942447987,0.0586328019454202,2810,891,0.759254255606593,0.240745744393407,"test001",23,88,108,97,143,88,145,109,82,92,122,89,86,117,124,120,150,73,130,192,157,129,76,121,110,33,92,45,129,86,126,71,56,63,100,129,0,0,0,2,0,0,1,4,14,8,10,0,0,1,6,0,0,0,3,20,1,10,4,3,0,0,0,0,0,0,10,11,0,7,3,26,12,73,87,75,117,77,112,78,65,77,112,82,58,94,91,94,114,69,64,147,99,114,72,34,63,10,29,13,123,76,107,60,47,19,66,36,11,15,21,15,22,11,27,15,2,5,0,7,19,21,23,17,32,4,45,22,37,5,0,63,47,23,56,29,6,8,5,0,9,30,2,20,0,0,0,5,4,0,5,12,1,2,0,0,9,1,4,9,4,0,18,3,20,0,0,21,0,0,7,3,0,2,4,0,0,7,29,47
2,109,2690,940,635,4374,"_IMG_0060_FA_P3_071222.mp4",2026-04-22,"FA","P3","HOST","SUSCEPTIBLE","JC","","LSTM","TL2",0.982,0.0249199817101052,0.614997713763146,0.21490626428898,0.145176040237769,2799,1575,0.639917695473251,0.360082304526749,"test002",137,108,104,109,173,130,99,143,140,137,136,167,122,175,182,159,101,137,160,112,138,131,141,141,82,162,181,44,91,148,102,50,40,34,45,113,0,0,4,11,14,0,0,1,3,4,3,0,7,1,7,0,0,6,0,6,5,0,0,0,0,7,3,0,0,0,0,0,12,15,0,0,128,89,73,63,123,50,77,112,54,60,84,117,54,71,94,62,66,58,79,45,71,105,82,88,39,109,155,13,83,73,72,50,26,19,45,101,5,15,22,27,33,69,17,25,65,51,19,43,36,59,62,46,26,46,48,20,34,10,7,21,21,42,15,5,8,33,2,0,2,0,0,6,4,4,5,8,3,11,5,5,18,22,30,7,25,44,19,51,9,27,33,41,28,16,52,32,22,4,8,26,0,42,28,0,0,0,0,6
3,219,2220,1006,552,3997,"_IMG_0061_FA_P3_071222.mp4",2026-04-22,"FA","P3","HOST","SUSCEPTIBLE","JC","","LSTM","TL2",0.995,0.05479109331999,0.555416562421816,0.251688766574931,0.138103577683262,2439,1558,0.610207655741806,0.389792344258194,"test003",76,105,93,80,106,123,122,134,110,162,171,126,137,107,136,144,171,81,124,97,81,82,161,140,166,150,97,89,90,101,142,129,62,35,40,27,0,0,0,0,0,4,2,0,5,0,4,13,8,0,24,6,4,4,2,2,0,0,2,0,16,25,2,0,11,26,44,15,0,0,0,0,74,70,87,61,64,104,74,80,90,115,77,90,78,31,70,30,78,58,75,40,78,72,72,89,85,51,31,33,19,42,33,60,25,17,40,27,2,34,6,18,30,11,25,38,14,45,69,21,51,62,36,65,24,13,33,32,3,10,60,24,37,58,45,7,1,14,58,33,19,8,0,0,0,1,0,1,12,4,21,16,1,2,21,2,0,14,6,43,65,6,14,23,0,0,27,27,28,16,19,49,59,19,7,21,18,10,0,0
4,240,992,782,746,2760,"_IMG_0082_FA_P3_180123-16.mp4",2026-04-22,"FA","P3","HOST","SUSCEPTIBLE","JC","","LSTM","TL2",0.997,0.0869565217391304,0.359420289855072,0.283333333333333,0.270289855072464,1232,1528,0.446376811594203,0.553623188405797,"test004",34,7,4,68,90,130,126,82,44,68,64,97,84,52,20,45,104,82,78,101,111,108,181,119,116,60,32,83,99,91,85,103,106,15,14,57,13,0,0,1,10,34,26,3,0,1,3,0,0,0,0,3,0,0,7,36,7,11,13,6,7,19,1,31,0,2,0,0,1,0,0,5,1,0,0,16,26,19,53,41,0,11,38,19,34,17,5,27,64,26,32,39,44,46,69,17,19,2,9,12,18,21,53,85,70,15,14,30,20,7,3,46,20,25,8,0,0,16,8,30,0,29,15,9,0,47,27,14,39,29,51,31,24,28,6,40,78,60,31,8,23,0,0,10,0,0,1,5,34,52,39,38,44,40,15,48,50,6,0,6,40,9,12,12,21,22,48,65,66,11,16,0,3,8,1,10,12,0,0,12
5,82,1149,729,341,2301,"_IMG_0083_FA_P3_180123-17.mp4",2026-04-22,"FA","P3","HOST","SUSCEPTIBLE","JC","","LSTM","TL2",1,0.0356366797044763,0.499348109517601,0.316818774445893,0.14819643633203,1231,1070,0.534984789222077,0.465015210777923,"test005",45,74,50,49,13,0,0,0,45,50,29,66,69,68,73,53,51,76,89,86,74,142,161,104,100,83,41,27,60,84,68,115,71,57,45,83,23,12,8,0,0,0,0,0,0,0,0,5,7,3,0,0,0,0,4,0,0,2,9,0,0,5,3,0,0,0,0,0,0,1,0,0,19,37,22,3,13,0,0,0,33,50,25,37,41,27,27,1,0,25,63,5,44,66,85,70,54,52,30,25,33,41,20,62,0,29,41,69,3,20,15,39,0,0,0,0,12,0,4,24,21,33,42,35,30,50,20,81,26,67,61,31,22,6,8,1,13,17,2,11,15,2,4,14,0,5,5,7,0,0,0,0,0,0,0,0,0,5,4,17,21,1,2,0,4,7,6,3,24,20,0,1,14,26,46,42,56,25,0,0
6,67,2308,573,406,3354,"_IMG_0084_FA_P3_180123-18.mp4",2026-04-22,"FA","P3","HOST","SUSCEPTIBLE","JC","","LSTM","TL2",1,0.0199761478831246,0.688133571854502,0.170840787119857,0.121049493142516,2375,979,0.708109719737627,0.291890280262373,"test006",58,98,76,115,58,102,98,88,103,67,43,109,111,120,105,105,70,55,126,145,114,37,114,107,100,119,103,138,130,87,86,95,63,109,78,22,2,0,0,4,0,6,8,4,0,0,3,0,0,0,0,0,0,0,1,3,5,0,0,0,6,0,6,9,2,3,2,0,0,3,0,0,56,92,64,79,50,86,75,51,86,40,27,89,71,61,41,85,70,43,85,95,10,34,79,66,51,66,82,86,79,69,69,23,57,106,78,7,0,6,12,16,8,10,15,12,0,7,13,20,25,26,26,14,0,12,24,32,47,0,25,33,17,43,10,24,43,15,13,16,6,0,0,3,0,0,0,16,0,0,0,21,17,20,0,0,15,33,38,6,0,0,16,15,52,3,10,8,26,10,5,19,6,0,2,56,0,0,0,12
7,65,1169,572,242,2048,"_IMG_0103_FA_P3_240123-37.mp4",2026-04-22,"FA","P3","HOST","SUSCEPTIBLE","JC","","LSTM","TL2",0.998,0.03173828125,0.57080078125,0.279296875,0.1181640625,1234,814,0.6025390625,0.3974609375,"test007",99,1,0,0,23,71,88,99,125,145,91,49,43,29,55,44,82,58,78,90,64,86,112,82,87,82,24,0,0,0,4,37,57,35,50,58,0,0,0,0,0,0,0,0,0,0,5,0,1,0,1,4,2,0,8,3,6,5,18,3,3,5,0,0,0,0,0,0,0,0,1,0,60,1,0,0,23,71,70,53,100,72,57,45,40,29,52,38,28,10,22,26,9,33,61,64,82,18,0,0,0,0,0,0,9,16,32,48,29,0,0,0,0,0,16,35,25,59,22,4,2,0,2,2,46,14,40,21,41,45,29,0,2,44,24,0,0,0,4,5,15,19,17,10,10,0,0,0,0,0,2,11,0,14,7,0,0,0,0,0,6,34,8,40,8,3,4,15,0,15,0,0,0,0,0,32,33,0,0,0
8,767,1306,776,367,3216,"_IMG_0104_FA_P3_240123-38.mp4",2026-04-22,"FA","P3","HOST","SUSCEPTIBLE","JC","","LSTM","TL2",0.997,0.238495024875622,0.406094527363184,0.241293532338308,0.114116915422886,2073,1143,0.644589552238806,0.355410447761194,"test008",30,63,1,3,0,11,69,150,112,101,52,42,56,63,24,72,176,151,144,102,60,75,142,135,130,103,85,67,126,150,163,77,126,159,93,103,0,0,0,0,0,0,0,16,38,56,42,30,8,40,24,61,70,54,41,50,30,40,22,13,3,0,3,9,7,19,15,0,24,16,12,24,21,63,0,0,0,11,58,83,31,14,10,0,22,6,0,11,39,74,29,41,30,33,68,41,66,35,19,24,51,79,53,53,75,72,47,47,9,0,0,0,0,0,9,45,28,7,0,3,16,17,0,0,62,21,39,7,0,2,21,30,37,29,22,17,42,49,93,24,19,66,31,31,0,0,1,3,0,0,2,6,15,24,0,9,10,0,0,0,5,2,35,4,0,0,31,51,24,39,41,17,26,3,2,0,8,5,3,1
9,366,1697,392,49,2504,"_IMG_0105_FA_P3_240123-39.mp4",2026-04-22,"FA","P3","HOST","SUSCEPTIBLE","JC","","LSTM","TL2",1,0.146166134185304,0.677715654952077,0.156549520766773,0.0195686900958466,2063,441,0.82388178913738,0.17611821086262,"test009",36,14,43,56,7,16,56,37,67,70,136,110,97,131,119,119,75,79,103,57,49,43,50,15,86,107,64,48,41,104,75,38,28,69,138,121,4,0,0,0,0,0,0,0,2,8,9,21,11,36,25,35,21,20,2,8,36,33,29,0,7,24,0,6,6,3,0,0,2,6,6,6,25,14,43,56,7,16,56,37,65,50,102,77,69,68,77,84,34,52,86,35,12,10,21,15,57,58,45,32,22,71,53,38,9,31,92,78,5,0,0,0,0,0,0,0,0,12,24,10,17,23,10,0,17,6,14,13,1,0,0,0,18,25,10,10,10,28,20,0,17,31,39,32,2,0,0,0,0,0,0,0,0,0,1,2,0,4,7,0,3,1,1,1,0,0,0,0,4,0,9,0,3,2,2,0,0,1,1,5
10,700,1942,423,125,3190,"_IMG_0112_FA_P3_260123-46.mp4",2026-04-22,"FA","P3","HOST","SUSCEPTIBLE","JC","","LSTM","TL2",0.999,0.219435736677116,0.608777429467085,0.132601880877743,0.0391849529780564,2642,548,0.828213166144201,0.171786833855799,"test010",20,129,103,58,123,168,128,131,51,50,58,109,65,14,44,120,153,126,105,157,147,60,0,68,31,63,88,140,72,93,104,128,93,43,45,103,2,15,15,3,12,34,44,58,46,46,13,20,22,0,0,0,53,56,65,46,31,14,0,7,0,0,8,6,1,16,10,36,0,0,0,21,18,106,81,53,108,127,55,73,5,4,34,51,28,14,32,59,68,37,34,90,108,46,0,61,31,61,52,49,67,43,64,89,81,23,16,74,0,8,7,2,3,7,25,0,0,0,10,38,15,0,12,29,31,21,6,19,7,0,0,0,0,2,26,69,4,15,11,3,12,11,22,8,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,32,1,12,0,2,1,0,0,0,0,0,2,16,0,19,19,0,0,9,7,0
