"ID","r0_total","r1_total","r2_total","r3_total","total","filename","date","strain","treatment","host_present","rstatus","experimenter","experimentlabel","country","site","valid_frames","r0prop","r1prop","r2prop","r3prop","tophalftot","bottomhalftot","tophalfprop","bottomhalfprop","prev_key","tot_t_5","tot_t_10","tot_t_15","tot_t_20","tot_t_25","tot_t_30","tot_t_35","tot_t_40","tot_t_45","tot_t_50","tot_t_55","tot_t_60","tot_t_65","tot_t_70","tot_t_75","tot_t_80","tot_t_85","tot_t_90","tot_t_95","tot_t_100","tot_t_105","tot_t_110","tot_t_115","tot_t_120","tot_t_125","tot_t_130","tot_t_135","tot_t_140","tot_t_145","tot_t_150","tot_t_155","tot_t_160","tot_t_165","tot_t_170","tot_t_175","tot_t_180","R0_t_5","R0_t_10","R0_t_15","R0_t_20","R0_t_25","R0_t_30","R0_t_35","R0_t_40","R0_t_45","R0_t_50","R0_t_55","R0_t_60","R0_t_65","R0_t_70","R0_t_75","R0_t_80","R0_t_85","R0_t_90","R0_t_95","R0_t_100","R0_t_105","R0_t_110","R0_t_115","R0_t_120","R0_t_125","R0_t_130","R0_t_135","R0_t_140","R0_t_145","R0_t_150","R0_t_155","R0_t_160","R0_t_165","R0_t_170","R0_t_175","R0_t_180","R1_t_5","R1_t_10","R1_t_15","R1_t_20","R1_t_25","R1_t_30","R1_t_35","R1_t_40","R1_t_45","R1_t_50","R1_t_55","R1_t_60","R1_t_65","R1_t_70","R1_t_75","R1_t_80","R1_t_85","R1_t_90","R1_t_95","R1_t_100","R1_t_105","R1_t_110","R1_t_115","R1_t_120","R1_t_125","R1_t_130","R1_t_135","R1_t_140","R1_t_145","R1_t_150","R1_t_155","R1_t_160","R1_t_165","R1_t_170","R1_t_175","R1_t_180","R2_t_5","R2_t_10","R2_t_15","R2_t_20","R2_t_25","R2_t_30","R2_t_35","R2_t_40","R2_t_45","R2_t_50","R2_t_55","R2_t_60","R2_t_65","R2_t_70","R2_t_75","R2_t_80","R2_t_85","R2_t_90","R2_t_95","R2_t_100","R2_t_105","R2_t_110","R2_t_115","R2_t_120","R2_t_125","R2_t_130","R2_t_135","R2_t_140","R2_t_145","R2_t_150","R2_t_155","R2_t_160","R2_t_165","R2_t_170","R2_t_175","R2_t_180","R3_t_5","R3_t_10","R3_t_15","R3_t_20","R3_t_25","R3_t_30","R3_t_35","R3_t_40","R3_t_45","R3_t_50","R3_t_55","R3_t_60","R3_t_65","R3_t_70","R3_t_75","R3_t_80","R3_t_85","R3_t_90","R3_t_95","R3_t_100","R3_t_105","R3_t_110","R3_t_115","R3_t_120","R3_t_125","R3_t_130","R3_t_135","R3_t_140","R3_t_145","R3_t_150","R3_t_155","R3_t_160","R3_t_165","R3_t_170","R3_t_175","R3_t_180"
1,25,1530,315,124,1994,"_IMG_0062_FA_OSP_071222.mp4",2026-04-22,"FA","OSP","HOST","SUSCEPTIBLE","JC","","LSTM","TL2",1,0.0125376128385155,0.767301905717151,0.157973921765296,0.0621865596790371,1555,439,0.779839518555667,0.220160481444333,"test001",116,117,147,132,77,105,63,84,58,94,11,28,0,16,138,85,2,114,104,66,0,8,21,14,0,0,17,11,0,79,89,20,29,43,50,56,0,0,0,1,0,1,0,11,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,89,80,121,121,65,81,12,48,14,32,9,25,0,16,100,70,2,97,104,48,0,7,21,14,0,0,17,11,0,78,89,20,29,6,48,56,17,31,17,10,12,23,34,15,30,44,2,3,0,0,19,15,0,10,0,17,0,1,0,0,0,0,0,0,0,1,0,0,0,14,0,0,10,6,9,0,0,0,17,10,14,18,0,0,0,0,17,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
2,36,1501,461,171,2169,"_IMG_0063_FA_OSP_071222.mp4",2026-04-22,"FA","OSP","HOST","SUSCEPTIBLE","JC","","LSTM","TL2",0.999,0.016597510373444,0.692023974181651,0.212540341171047,0.0788381742738589,1537,632,0.708621484555095,0.291378515444906,"test002",85,146,175,151,71,108,113,119,86,70,105,139,55,34,101,41,39,2,0,0,0,0,0,11,0,25,21,65,131,85,16,76,82,7,0,10,0,2,3,11,0,3,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,10,4,0,0,0,0,0,0,0,58,101,117,110,71,38,44,55,42,30,33,95,55,28,58,17,32,2,0,0,0,0,0,11,0,25,21,55,127,85,16,76,82,7,0,10,22,23,40,12,0,67,58,22,33,14,66,44,0,6,29,19,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,15,18,0,0,11,42,11,26,6,0,0,0,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,26,1683,534,364,2607,"_IMG_0064_FA_OSP_071222.mp4",2026-04-22,"FA","OSP","HOST","SUSCEPTIBLE","JC","","LSTM","TL2",0.992,0.00997314921365554,0.645569620253165,0.204833141542002,0.139624088991178,1709,898,0.65554276946682,0.34445723053318,"test003",67,79,128,148,152,133,141,168,102,103,122,67,19,0,32,60,94,25,19,54,90,83,85,50,16,58,0,25,28,43,6,58,72,96,115,69,0,0,0,7,4,0,5,0,0,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,58,73,65,73,18,66,59,44,53,80,39,0,0,32,40,64,22,0,21,33,83,85,50,16,58,0,25,28,43,6,58,72,96,115,68,27,21,16,31,32,37,35,80,48,41,9,10,19,0,0,15,26,3,16,26,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,39,45,43,78,35,29,10,9,25,18,0,0,0,5,4,0,3,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,20,2097,480,29,2626,"_IMG_0079_FA_OSP_180123-13.mp4",2026-04-22,"FA","OSP","HOST","SUSCEPTIBLE","JC","","LSTM","TL2",0.998,0.00761614623000762,0.798552932216299,0.182787509520183,0.011043412033511,2117,509,0.806169078446306,0.193830921553694,"test004",82,57,62,149,135,154,83,132,62,114,141,79,46,129,125,28,11,13,88,110,88,32,26,44,37,61,56,68,66,134,94,40,15,0,7,58,1,0,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,1,0,6,0,0,0,0,48,56,50,123,132,129,43,86,15,45,91,31,26,115,125,28,11,13,79,106,87,32,26,42,37,59,37,68,64,120,80,34,15,0,7,37,31,1,8,21,3,22,37,46,47,65,50,48,13,14,0,0,0,0,9,4,0,0,0,2,0,0,19,0,0,13,14,0,0,0,0,13,2,0,1,4,0,3,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
5,18,1965,462,128,2573,"_IMG_0080_FA_OSP_180123-14.mp4",2026-04-22,"FA","OSP","HOST","SUSCEPTIBLE","JC","","LSTM","TL2",1,0.00699572483482316,0.763699961134862,0.179556937427128,0.0497473766031869,1983,590,0.770695685969685,0.229304314030315,"test005",32,43,131,127,134,128,113,74,150,137,92,89,29,14,148,107,91,48,22,19,45,102,24,23,24,0,41,84,55,58,45,22,21,135,123,43,0,0,4,1,0,0,1,1,0,0,3,1,0,0,3,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,80,44,99,87,83,51,96,112,66,59,29,14,117,93,75,46,22,19,33,96,21,23,24,0,39,84,55,56,30,22,7,129,106,16,32,11,41,82,35,35,26,16,23,22,18,26,0,0,20,7,10,2,0,0,12,4,1,0,0,0,2,0,0,2,15,0,14,6,0,0,0,0,6,0,0,6,3,6,31,3,5,3,0,0,8,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,27
6,28,2107,503,139,2777,"_IMG_0081_FA_OSP_180123-15.mp4",2026-04-22,"FA","OSP","HOST","SUSCEPTIBLE","JC","","LSTM","TL2",0.992,0.0100828231904933,0.758732445084624,0.181130716600648,0.0500540151242348,2135,642,0.768815268275117,0.231184731724883,"test006",72,119,143,129,101,177,162,82,133,103,123,101,71,146,91,87,43,51,4,18,53,129,87,20,64,37,35,44,17,47,23,79,13,47,45,81,0,0,11,1,2,2,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,89,85,103,82,113,99,45,78,93,49,65,22,99,51,55,39,49,4,18,53,124,87,19,64,36,35,44,17,47,23,79,13,47,45,80,16,28,47,21,4,26,39,30,34,5,65,20,43,40,40,32,4,2,0,0,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,4,13,36,21,7,21,5,9,8,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,93,1861,540,128,2622,"_IMG_0106_FA_OSP_240123-40.mp4",2026-04-22,"FA","OSP","HOST","SUSCEPTIBLE","JC","","LSTM","TL2",1,0.0354691075514874,0.70976353928299,0.205949656750572,0.0488176964149504,1954,668,0.745232646834478,0.254767353165523,"test007",0,16,105,130,48,113,112,68,22,3,60,91,112,110,124,124,106,129,139,77,57,61,94,92,94,112,4,84,70,79,19,0,7,74,23,63,0,0,8,1,3,6,32,3,0,0,0,4,0,1,0,0,0,0,2,0,0,3,7,1,14,4,0,0,0,0,0,0,0,0,0,4,0,2,63,48,28,77,75,55,2,0,22,79,96,75,115,91,69,120,76,53,27,34,41,70,72,104,4,61,51,79,19,0,7,74,23,49,0,3,22,63,17,26,5,8,19,3,38,8,15,31,6,28,27,9,47,24,30,24,29,19,8,4,0,21,6,0,0,0,0,0,0,0,0,11,12,18,0,4,0,2,1,0,0,0,1,3,3,5,10,0,14,0,0,0,17,2,0,0,0,2,13,0,0,0,0,0,0,10
8,101,2986,294,34,3415,"_IMG_0107_FA_OSP_240123-41.mp4",2026-04-22,"FA","OSP","HOST","SUSCEPTIBLE","JC","","LSTM","TL2",0.989,0.0295754026354319,0.874377745241581,0.086090775988287,0.00995607613469985,3087,328,0.903953147877013,0.0960468521229868,"test008",78,84,134,116,140,129,128,139,150,128,124,75,98,118,155,103,57,99,153,113,85,101,53,39,55,9,48,30,88,68,129,62,10,98,89,130,0,0,0,0,1,11,15,24,4,0,0,0,7,2,19,13,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,43,67,121,86,132,88,104,105,146,128,124,75,80,107,126,72,54,99,117,98,85,64,40,39,55,9,45,17,74,68,129,62,10,98,89,130,26,17,11,30,7,26,9,10,0,0,0,0,10,7,10,18,0,0,35,12,0,34,13,0,0,0,2,3,14,0,0,0,0,0,0,0,9,0,2,0,0,4,0,0,0,0,0,0,1,2,0,0,0,0,0,3,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0
9,211,1948,389,118,2666,"_IMG_0108_FA_OSP_240123-42.mp4",2026-04-22,"FA","OSP","HOST","SUSCEPTIBLE","JC","","LSTM","TL2",0.984,0.0791447861965491,0.730682670667667,0.145911477869467,0.0442610652663166,2159,507,0.809827456864216,0.190172543135784,"test009",23,73,152,168,169,92,126,140,124,161,120,22,0,0,67,131,108,69,154,174,36,30,23,3,31,38,12,62,81,116,52,0,15,2,55,37,0,4,12,36,44,3,7,6,6,21,9,0,0,0,5,10,5,0,16,17,0,1,0,0,3,0,0,1,0,4,1,0,0,0,0,0,15,63,134,119,107,42,79,117,106,126,111,22,0,0,61,76,78,47,94,118,35,21,23,3,19,34,0,36,31,93,50,0,15,2,43,28,6,6,6,11,15,33,15,17,11,10,0,0,0,0,1,22,15,8,32,39,1,8,0,0,9,4,12,25,43,18,1,0,0,0,12,9,2,0,0,2,3,14,25,0,1,4,0,0,0,0,0,23,10,14,12,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0
10,345,2038,318,0,2701,"_IMG_0116_FA_OSP_260123-49.mp4",2026-04-22,"FA","OSP","HOST","SUSCEPTIBLE","JC","","LSTM","TL2",1,0.127730470196224,0.754535357275083,0.117734172528693,0,2383,318,0.882265827471307,0.117734172528693,"test010",101,93,93,133,152,124,44,37,157,114,133,110,38,33,47,91,81,52,72,36,48,44,74,69,20,68,61,101,90,85,61,50,69,55,35,30,24,10,26,23,25,42,44,20,38,45,22,15,0,2,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,77,63,65,104,109,82,0,17,119,69,97,95,38,31,47,91,80,35,40,31,46,44,64,38,18,56,21,75,73,56,37,31,69,55,35,30,0,20,2,6,18,0,0,0,0,0,14,0,0,0,0,0,0,13,32,5,2,0,10,31,2,12,40,26,17,29,23,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
