"ID","r0_total","r1_total","r2_total","r3_total","total","filename","date","strain","treatment","host_present","rstatus","experimenter","experimentlabel","country","site","valid_frames","r0prop","r1prop","r2prop","r3prop","tophalftot","bottomhalftot","tophalfprop","bottomhalfprop","prev_key","tot_t_5","tot_t_10","tot_t_15","tot_t_20","tot_t_25","tot_t_30","tot_t_35","tot_t_40","tot_t_45","tot_t_50","tot_t_55","tot_t_60","tot_t_65","tot_t_70","tot_t_75","tot_t_80","tot_t_85","tot_t_90","tot_t_95","tot_t_100","tot_t_105","tot_t_110","tot_t_115","tot_t_120","tot_t_125","tot_t_130","tot_t_135","tot_t_140","tot_t_145","tot_t_150","tot_t_155","tot_t_160","tot_t_165","tot_t_170","tot_t_175","tot_t_180","R0_t_5","R0_t_10","R0_t_15","R0_t_20","R0_t_25","R0_t_30","R0_t_35","R0_t_40","R0_t_45","R0_t_50","R0_t_55","R0_t_60","R0_t_65","R0_t_70","R0_t_75","R0_t_80","R0_t_85","R0_t_90","R0_t_95","R0_t_100","R0_t_105","R0_t_110","R0_t_115","R0_t_120","R0_t_125","R0_t_130","R0_t_135","R0_t_140","R0_t_145","R0_t_150","R0_t_155","R0_t_160","R0_t_165","R0_t_170","R0_t_175","R0_t_180","R1_t_5","R1_t_10","R1_t_15","R1_t_20","R1_t_25","R1_t_30","R1_t_35","R1_t_40","R1_t_45","R1_t_50","R1_t_55","R1_t_60","R1_t_65","R1_t_70","R1_t_75","R1_t_80","R1_t_85","R1_t_90","R1_t_95","R1_t_100","R1_t_105","R1_t_110","R1_t_115","R1_t_120","R1_t_125","R1_t_130","R1_t_135","R1_t_140","R1_t_145","R1_t_150","R1_t_155","R1_t_160","R1_t_165","R1_t_170","R1_t_175","R1_t_180","R2_t_5","R2_t_10","R2_t_15","R2_t_20","R2_t_25","R2_t_30","R2_t_35","R2_t_40","R2_t_45","R2_t_50","R2_t_55","R2_t_60","R2_t_65","R2_t_70","R2_t_75","R2_t_80","R2_t_85","R2_t_90","R2_t_95","R2_t_100","R2_t_105","R2_t_110","R2_t_115","R2_t_120","R2_t_125","R2_t_130","R2_t_135","R2_t_140","R2_t_145","R2_t_150","R2_t_155","R2_t_160","R2_t_165","R2_t_170","R2_t_175","R2_t_180","R3_t_5","R3_t_10","R3_t_15","R3_t_20","R3_t_25","R3_t_30","R3_t_35","R3_t_40","R3_t_45","R3_t_50","R3_t_55","R3_t_60","R3_t_65","R3_t_70","R3_t_75","R3_t_80","R3_t_85","R3_t_90","R3_t_95","R3_t_100","R3_t_105","R3_t_110","R3_t_115","R3_t_120","R3_t_125","R3_t_130","R3_t_135","R3_t_140","R3_t_145","R3_t_150","R3_t_155","R3_t_160","R3_t_165","R3_t_170","R3_t_175","R3_t_180"
1,85,1040,656,181,1962,"_IMG_0046_FU_UT_051222.mp4",2026-04-22,"FZ","UT","HOST","RESISTANT","JC","","LSTM","TL2",0.999,0.0433231396534149,0.530071355759429,0.334352701325178,0.0922528032619776,1125,837,0.573394495412844,0.426605504587156,"test001",50,0,64,62,105,136,41,75,65,81,61,62,39,40,96,85,64,38,23,42,60,50,29,92,56,89,91,59,3,0,57,4,47,96,0,0,0,0,10,0,0,1,0,0,0,4,0,16,3,1,0,0,16,5,6,2,1,1,6,2,0,0,0,11,0,0,0,0,0,0,0,0,42,0,33,39,83,63,22,33,34,36,38,3,32,17,23,24,48,33,5,19,36,41,12,76,44,2,68,22,0,0,30,0,13,69,0,0,0,0,0,18,22,58,9,41,31,39,18,22,4,22,73,40,0,0,12,19,22,8,11,11,12,63,20,7,0,0,25,4,18,27,0,0,8,0,21,5,0,14,10,1,0,2,5,21,0,0,0,21,0,0,0,2,1,0,0,3,0,24,3,19,3,0,2,0,16,0,0,0
2,20,884,474,37,1415,"_IMG_0047_FU_UT_051222.mp4",2026-04-22,"FZ","UT","HOST","RESISTANT","JC","","LSTM","TL2",1,0.0141342756183746,0.624734982332156,0.334982332155477,0.0261484098939929,904,511,0.63886925795053,0.36113074204947,"test002",62,32,36,37,55,61,98,103,63,123,95,7,0,35,20,55,16,0,3,57,95,12,5,54,115,68,5,18,18,0,31,34,1,0,0,1,1,0,0,0,1,0,2,0,0,3,2,0,0,1,0,0,0,0,0,0,3,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,55,32,36,23,29,23,41,47,38,64,57,7,0,12,4,37,16,0,3,45,74,12,5,47,77,31,0,6,18,0,31,14,0,0,0,0,5,0,0,14,23,38,50,54,25,47,34,0,0,21,16,18,0,0,0,11,16,0,0,7,25,32,5,12,0,0,0,20,0,0,0,1,1,0,0,0,2,0,5,2,0,9,2,0,0,1,0,0,0,0,0,1,2,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0
3,12,186,289,41,528,"_IMG_0048_FU_UT_051222.mp4",2026-04-22,"FZ","UT","HOST","RESISTANT","JC","","LSTM","TL2",1,0.0227272727272727,0.352272727272727,0.547348484848485,0.0776515151515152,198,330,0.375,0.625,"test003",77,3,0,13,0,26,0,0,0,0,32,51,1,0,66,50,48,35,0,0,0,0,0,0,0,0,0,0,0,46,79,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,3,0,0,0,0,0,0,0,0,17,25,0,0,25,23,24,9,0,0,0,0,0,0,0,0,0,0,0,27,2,0,0,0,0,0,39,0,0,13,0,26,0,0,0,0,15,25,1,0,41,19,15,24,0,0,0,0,0,0,0,0,0,0,0,19,52,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0,0,0,0
4,8,79,45,61,193,"_IMG_0066_FU_UT_170123-1.mp4",2026-04-22,"FZ","UT","HOST","RESISTANT","JC","","LSTM","TL2",1,0.0414507772020725,0.409326424870466,0.233160621761658,0.316062176165803,87,106,0.450777202072539,0.549222797927461,"test004",0,0,0,0,0,0,13,15,0,0,0,0,0,0,0,22,40,39,46,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,18,15,21,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,12,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15,0,0,0,0,0,0,0,13,5,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,196,628,867,579,2270,"_IMG_0067_FU_UT_170123-2.mp4",2026-04-22,"FZ","UT","HOST","RESISTANT","JC","","LSTM","TL2",0.998,0.0863436123348018,0.276651982378855,0.381938325991189,0.255066079295154,824,1446,0.362995594713656,0.637004405286344,"test005",22,24,54,124,104,46,85,105,149,114,57,50,73,60,92,77,83,113,91,121,81,81,81,49,5,0,28,49,45,24,0,0,40,105,34,4,0,1,2,10,4,0,0,3,6,37,9,0,2,9,3,7,6,9,26,27,7,9,7,6,0,0,0,0,2,0,0,0,0,4,0,0,4,1,13,50,29,15,36,38,37,40,12,0,18,7,23,19,44,27,31,33,16,30,37,9,0,0,0,3,17,0,0,0,4,35,0,0,2,8,11,42,46,20,26,44,39,32,0,22,43,36,49,37,25,55,33,42,20,32,37,25,5,0,28,42,16,4,0,0,11,29,5,1,16,14,28,22,25,11,23,20,67,5,36,28,10,8,17,14,8,22,1,19,38,10,0,9,0,0,0,4,10,20,0,0,25,37,29,3
6,2,527,221,24,774,"_IMG_0068_FU_UT_170123-3.mp4",2026-04-22,"FZ","UT","HOST","RESISTANT","JC","","LSTM","TL2",1,0.00258397932816537,0.680878552971576,0.285529715762274,0.0310077519379845,529,245,0.683462532299742,0.316537467700258,"test006",0,0,0,14,27,102,94,0,93,23,0,56,27,12,3,10,0,59,50,50,48,7,0,0,0,0,0,0,21,52,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,17,60,36,0,42,0,0,33,7,12,3,10,0,59,50,50,48,7,0,0,0,0,0,0,21,46,26,0,0,0,0,0,0,0,0,14,10,33,52,0,42,23,0,23,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,9,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,363,65,0,428,"_IMG_0085_FU_UT_190123-19.mp4",2026-04-22,"FZ","UT","HOST","RESISTANT","JC","","LSTM","TL2",1,0,0.848130841121495,0.151869158878505,0,363,65,0.848130841121495,0.151869158878505,"test007",2,0,27,3,0,0,1,55,0,31,25,0,0,0,0,0,0,72,76,80,0,0,0,0,11,31,8,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,27,3,0,0,0,9,0,29,22,0,0,0,0,0,0,59,76,80,0,0,0,0,11,31,8,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,1,46,0,2,3,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,23,546,507,220,1296,"_IMG_0086_FU_UT_190123-20.mp4",2026-04-22,"FZ","UT","HOST","RESISTANT","JC","","LSTM","TL2",1,0.0177469135802469,0.421296296296296,0.391203703703704,0.169753086419753,569,727,0.439043209876543,0.560956790123457,"test008",41,35,0,0,1,0,0,0,12,64,71,74,5,12,24,108,110,25,58,104,117,50,38,46,14,79,23,21,54,21,0,29,54,6,0,0,1,0,0,0,0,0,0,0,0,2,10,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,26,14,0,0,1,0,0,0,0,14,26,52,0,0,18,78,76,2,32,54,35,0,0,7,0,40,23,0,12,21,0,3,12,0,0,0,10,3,0,0,0,0,0,0,12,21,35,21,5,12,6,27,23,16,26,26,15,40,21,28,14,39,0,19,32,0,0,24,26,6,0,0,4,18,0,0,0,0,0,0,0,27,0,0,0,0,0,3,11,7,0,24,60,10,17,11,0,0,0,2,8,0,0,2,16,0,0,0
9,370,948,378,293,1989,"_IMG_0087_FU_UT_190123-21.mp4",2026-04-22,"FZ","UT","HOST","RESISTANT","JC","","LSTM","TL2",1,0.186023127199598,0.476621417797888,0.190045248868778,0.147310206133736,1318,671,0.662644544997486,0.337355455002514,"test009",60,131,136,93,48,39,35,66,101,97,99,53,84,47,44,99,66,96,89,97,51,59,18,1,11,7,0,0,67,48,24,0,0,54,69,0,0,3,23,17,24,38,35,23,17,32,66,37,15,7,9,2,0,3,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,39,104,70,44,23,1,0,43,84,35,25,4,24,18,23,41,32,93,47,42,0,8,0,1,11,0,0,0,21,17,22,0,0,47,29,0,15,24,35,19,1,0,0,0,0,8,2,0,7,15,7,24,25,0,19,26,0,33,18,0,0,7,0,0,31,17,2,0,0,5,38,0,6,0,8,13,0,0,0,0,0,22,6,12,38,7,5,32,9,0,5,29,51,18,0,0,0,0,0,0,14,14,0,0,0,2,2,0
10,343,1178,298,53,1872,"_IMG_0100_FU_UT_230123-34.mp4",2026-04-22,"FZ","UT","HOST","RESISTANT","JC","","LSTM","TL2",1,0.183226495726496,0.629273504273504,0.159188034188034,0.0283119658119658,1521,351,0.8125,0.1875,"test010",4,0,29,46,40,22,43,63,57,86,69,43,27,64,75,63,81,88,91,75,86,81,102,117,101,82,88,86,49,2,8,3,0,0,0,1,0,0,0,1,23,3,0,2,16,23,7,18,6,19,31,25,37,17,9,10,8,9,6,2,6,33,23,5,4,0,0,0,0,0,0,0,4,0,14,42,11,19,27,54,38,62,62,25,16,36,35,23,33,56,64,48,56,62,69,64,69,40,44,55,39,2,8,1,0,0,0,0,0,0,13,3,4,0,16,6,3,1,0,0,5,7,9,8,9,12,17,15,18,10,25,48,23,6,20,14,6,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,2,0,7,2,3,1,2,4,0,2,3,3,3,1,12,0,0,0,2,0,0,0,1
11,202,765,148,48,1163,"_IMG_0101_FU_UT_230123-35.mp4",2026-04-22,"FZ","UT","HOST","RESISTANT","JC","","LSTM","TL2",1,0.173688736027515,0.657781599312124,0.12725709372313,0.0412725709372313,967,196,0.831470335339639,0.168529664660361,"test011",51,48,47,47,43,50,46,48,45,38,0,6,0,34,50,9,1,30,27,41,33,42,22,18,32,26,0,9,0,42,43,50,41,46,49,49,13,7,11,17,14,5,18,4,31,3,0,0,0,0,6,0,0,0,0,6,13,5,0,5,11,0,0,0,0,6,2,6,9,2,8,0,24,28,22,21,21,22,17,18,8,35,0,6,0,34,43,9,1,17,27,35,20,33,22,13,21,26,0,0,0,27,41,37,31,34,36,36,13,13,10,9,8,19,10,21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,1,10,5,13,1,0,4,0,0,4,1,5,0,0,0,0,0,0,1,0,0,13,0,0,0,4,0,0,0,0,0,9,0,1,0,5,0,0,0,0
12,119,553,194,77,943,"_IMG_0102_FU_UT_230123-36.mp4",2026-04-22,"FZ","UT","HOST","RESISTANT","JC","","LSTM","TL2",1,0.126193001060445,0.586426299045599,0.205726405090138,0.0816542948038176,672,271,0.712619300106045,0.287380699893955,"test012",95,99,97,76,65,44,50,50,87,93,128,54,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,23,13,14,24,6,15,3,2,4,6,3,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,58,56,73,43,41,21,18,18,74,46,61,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,28,9,9,11,7,20,24,9,40,19,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,1,0,7,1,9,6,0,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,446,785,105,33,1369,"_IMG_0169_FU_UT_27to29_0223-1.mp4",2026-04-22,"FZ","UT","HOST","RESISTANT","JC","","LSTM","TL2",1,0.325785244704164,0.573411249086925,0.0766983199415632,0.0241051862673484,1231,138,0.899196493791088,0.100803506208912,"test013",80,89,76,71,49,67,99,82,139,95,86,63,45,5,0,0,0,0,0,26,49,17,31,35,1,0,12,0,0,1,2,0,0,54,45,50,19,49,21,35,30,26,14,27,46,71,43,0,14,0,0,0,0,0,0,10,32,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,61,40,55,36,18,7,59,42,79,22,32,48,29,5,0,0,0,0,0,16,13,17,31,35,0,0,12,0,0,1,2,0,0,39,41,45,0,0,0,0,1,22,21,12,13,2,8,12,2,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,12,5,1,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
