"ID","r0_total","r1_total","r2_total","r3_total","total","filename","date","strain","treatment","host_present","rstatus","experimenter","experimentlabel","country","site","valid_frames","r0prop","r1prop","r2prop","r3prop","tophalftot","bottomhalftot","tophalfprop","bottomhalfprop","prev_key","tot_t_5","tot_t_10","tot_t_15","tot_t_20","tot_t_25","tot_t_30","tot_t_35","tot_t_40","tot_t_45","tot_t_50","tot_t_55","tot_t_60","tot_t_65","tot_t_70","tot_t_75","tot_t_80","tot_t_85","tot_t_90","tot_t_95","tot_t_100","tot_t_105","tot_t_110","tot_t_115","tot_t_120","tot_t_125","tot_t_130","tot_t_135","tot_t_140","tot_t_145","tot_t_150","tot_t_155","tot_t_160","tot_t_165","tot_t_170","tot_t_175","tot_t_180","R0_t_5","R0_t_10","R0_t_15","R0_t_20","R0_t_25","R0_t_30","R0_t_35","R0_t_40","R0_t_45","R0_t_50","R0_t_55","R0_t_60","R0_t_65","R0_t_70","R0_t_75","R0_t_80","R0_t_85","R0_t_90","R0_t_95","R0_t_100","R0_t_105","R0_t_110","R0_t_115","R0_t_120","R0_t_125","R0_t_130","R0_t_135","R0_t_140","R0_t_145","R0_t_150","R0_t_155","R0_t_160","R0_t_165","R0_t_170","R0_t_175","R0_t_180","R1_t_5","R1_t_10","R1_t_15","R1_t_20","R1_t_25","R1_t_30","R1_t_35","R1_t_40","R1_t_45","R1_t_50","R1_t_55","R1_t_60","R1_t_65","R1_t_70","R1_t_75","R1_t_80","R1_t_85","R1_t_90","R1_t_95","R1_t_100","R1_t_105","R1_t_110","R1_t_115","R1_t_120","R1_t_125","R1_t_130","R1_t_135","R1_t_140","R1_t_145","R1_t_150","R1_t_155","R1_t_160","R1_t_165","R1_t_170","R1_t_175","R1_t_180","R2_t_5","R2_t_10","R2_t_15","R2_t_20","R2_t_25","R2_t_30","R2_t_35","R2_t_40","R2_t_45","R2_t_50","R2_t_55","R2_t_60","R2_t_65","R2_t_70","R2_t_75","R2_t_80","R2_t_85","R2_t_90","R2_t_95","R2_t_100","R2_t_105","R2_t_110","R2_t_115","R2_t_120","R2_t_125","R2_t_130","R2_t_135","R2_t_140","R2_t_145","R2_t_150","R2_t_155","R2_t_160","R2_t_165","R2_t_170","R2_t_175","R2_t_180","R3_t_5","R3_t_10","R3_t_15","R3_t_20","R3_t_25","R3_t_30","R3_t_35","R3_t_40","R3_t_45","R3_t_50","R3_t_55","R3_t_60","R3_t_65","R3_t_70","R3_t_75","R3_t_80","R3_t_85","R3_t_90","R3_t_95","R3_t_100","R3_t_105","R3_t_110","R3_t_115","R3_t_120","R3_t_125","R3_t_130","R3_t_135","R3_t_140","R3_t_145","R3_t_150","R3_t_155","R3_t_160","R3_t_165","R3_t_170","R3_t_175","R3_t_180"
1,63,1733,1163,190,3149,"_IMG_0049_FU_P3_051222.mp4",2026-04-22,"FZ","P3","HOST","RESISTANT","JC","","LSTM","TL2",0.994,0.0200063512226104,0.550333439187043,0.369323594791997,0.0603366147983487,1796,1353,0.570339790409654,0.429660209590346,"test001",3,11,52,50,44,33,64,101,55,47,113,177,115,87,55,51,107,144,83,42,82,75,109,121,175,132,90,78,68,82,82,101,95,145,132,148,0,0,0,0,0,0,0,0,2,2,2,4,3,3,1,0,7,9,0,0,2,2,1,0,5,3,0,4,1,1,0,3,0,4,0,4,0,0,52,46,42,32,39,57,17,31,49,102,51,27,35,16,38,112,36,36,44,42,66,63,80,82,42,42,52,46,48,47,42,77,52,90,3,11,0,4,2,1,25,41,35,13,55,51,55,51,17,35,53,18,41,6,25,29,37,23,72,41,43,32,13,33,31,44,52,50,78,43,0,0,0,0,0,0,0,3,1,1,7,20,6,6,2,0,9,5,6,0,11,2,5,35,18,6,5,0,2,2,3,7,1,14,2,11
2,112,2275,1908,375,4670,"_IMG_0050_FU_P3_051222.mp4",2026-04-22,"FZ","P3","HOST","RESISTANT","JC","","LSTM","TL2",0.983,0.023982869379015,0.487152034261242,0.408565310492505,0.0802997858672377,2387,2283,0.511134903640257,0.488865096359743,"test002",36,77,61,91,80,123,133,149,90,91,132,160,175,169,151,125,190,213,175,174,138,125,90,85,131,156,131,161,142,130,98,96,164,148,138,142,3,1,0,2,0,1,2,5,2,1,2,1,4,4,1,10,5,7,3,3,4,5,12,1,3,0,5,0,0,2,0,2,1,5,10,5,20,61,34,55,48,58,83,75,34,30,47,59,102,76,80,52,83,99,98,61,39,72,37,51,80,107,60,84,101,58,47,36,63,49,68,68,11,13,22,33,28,42,41,50,15,37,69,75,56,77,57,58,88,91,63,103,78,39,38,31,37,46,64,65,31,60,42,49,92,85,54,68,2,2,5,1,4,22,7,19,39,23,14,25,13,12,13,5,14,16,11,7,17,9,3,2,11,3,2,12,10,10,9,9,8,9,6,1
3,114,1504,1227,375,3220,"_IMG_0051_FU_P3_051222.mp4",2026-04-22,"FZ","P3","HOST","RESISTANT","JC","","LSTM","TL2",0.998,0.0354037267080745,0.467080745341615,0.381055900621118,0.116459627329193,1618,1602,0.502484472049689,0.497515527950311,"test003",37,75,80,70,73,66,0,48,116,65,109,102,52,71,136,46,42,126,123,50,145,80,42,145,57,62,131,136,93,142,130,97,130,131,119,93,0,0,4,10,2,4,0,1,0,15,10,2,0,4,2,1,0,2,7,0,13,3,6,8,2,0,4,2,0,1,4,0,2,3,1,1,21,28,51,34,45,40,0,19,46,33,37,57,32,23,57,38,18,55,80,22,88,33,20,51,37,5,59,57,33,78,71,42,55,35,63,41,11,42,24,24,20,20,0,25,64,16,52,40,20,40,62,7,15,64,24,16,30,39,13,49,8,25,42,62,43,41,44,49,63,73,33,27,5,5,1,2,6,2,0,3,6,1,10,3,0,4,15,0,9,5,12,12,14,5,3,37,10,32,26,15,17,22,11,6,10,20,22,24
4,177,828,476,392,1873,"_IMG_0072_FU_P3_170123-7.mp4",2026-04-22,"FZ","P3","HOST","RESISTANT","JC","","LSTM","TL2",1,0.0945008008542445,0.442071542979178,0.254137746930059,0.209289909236519,1005,868,0.536572343833422,0.463427656166578,"test004",0,1,0,0,0,1,21,64,87,66,43,44,45,45,70,120,11,15,79,112,43,60,63,45,39,51,124,59,101,82,57,96,92,47,28,62,0,0,0,0,0,0,0,3,12,8,0,0,0,4,11,36,0,0,25,46,0,0,0,0,3,0,15,2,0,0,3,5,0,1,0,3,0,1,0,0,0,1,6,24,34,26,26,19,31,28,42,57,3,0,42,36,23,2,0,3,17,1,16,46,56,39,52,69,87,15,0,26,0,0,0,0,0,0,15,24,31,27,17,21,12,8,17,27,8,15,12,29,17,38,10,5,16,0,30,11,12,8,2,10,0,26,9,19,0,0,0,0,0,0,0,13,10,5,0,4,2,5,0,0,0,0,0,1,3,20,53,37,3,50,63,0,33,35,0,12,5,5,19,14
5,131,1670,659,285,2745,"_IMG_0073_FU_P3_170123-8.mp4",2026-04-22,"FZ","P3","HOST","RESISTANT","JC","","LSTM","TL2",1,0.0477231329690346,0.608378870673953,0.240072859744991,0.103825136612022,1801,944,0.656102003642987,0.343897996357013,"test005",31,46,32,0,72,7,16,93,76,73,48,126,95,88,100,101,89,107,114,130,80,91,108,128,99,85,43,71,99,119,27,0,64,101,78,108,0,0,0,0,0,0,0,0,3,0,5,2,0,10,0,2,1,7,4,20,28,8,1,8,3,5,0,0,0,12,0,0,0,0,0,12,31,45,32,0,72,7,16,56,58,65,29,93,68,28,79,71,32,70,43,86,41,57,46,50,49,74,7,23,20,82,27,0,20,72,50,71,0,1,0,0,0,0,0,33,15,7,8,25,21,28,20,21,31,27,44,19,9,23,39,60,29,6,0,8,35,25,0,0,44,29,28,24,0,0,0,0,0,0,0,4,0,1,6,6,6,22,1,7,25,3,23,5,2,3,22,10,18,0,36,40,44,0,0,0,0,0,0,1
6,689,1531,345,120,2685,"_IMG_0074_FU_P3_170123-9.mp4",2026-04-22,"FZ","P3","HOST","RESISTANT","JC","","LSTM","TL2",0.997,0.256610800744879,0.570204841713222,0.128491620111732,0.0446927374301676,2220,465,0.826815642458101,0.173184357541899,"test006",43,24,39,42,43,23,54,111,128,156,141,138,118,48,36,55,95,77,69,71,82,82,50,43,70,43,40,21,45,115,139,112,46,39,97,150,0,0,0,0,0,0,0,22,11,39,19,43,28,36,36,18,40,19,48,18,25,10,16,6,5,6,31,7,30,35,47,53,21,5,7,8,30,22,26,42,43,23,45,68,60,71,114,59,46,12,0,21,35,55,21,36,48,66,28,30,65,32,9,14,0,66,85,41,25,29,74,90,13,2,13,0,0,0,2,17,26,38,8,27,20,0,0,14,18,3,0,17,9,6,6,7,0,5,0,0,6,8,7,18,0,5,16,34,0,0,0,0,0,0,7,4,31,8,0,9,24,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,9,6,0,0,0,0,0,18
7,635,1334,532,504,3005,"_IMG_0091_FU_P3_190123-25.mp4",2026-04-22,"FZ","P3","HOST","RESISTANT","JC","","LSTM","TL2",0.997,0.211314475873544,0.443926788685524,0.177038269550749,0.167720465890183,1969,1036,0.655241264559068,0.344758735440932,"test007",16,32,17,36,69,56,98,116,62,23,0,16,86,84,69,54,80,110,165,116,160,101,88,156,146,101,83,89,91,68,122,107,102,58,99,129,0,0,0,12,35,31,45,53,17,2,0,0,0,0,0,0,0,20,33,7,41,47,48,44,50,53,42,5,5,0,7,13,4,6,7,8,1,32,0,21,27,23,50,56,40,0,0,8,20,39,14,20,49,63,111,55,91,21,24,73,63,34,39,33,8,3,33,57,48,47,34,97,15,0,17,3,7,2,3,5,5,3,0,0,18,9,5,6,11,15,15,45,17,15,16,24,25,11,2,21,40,34,42,11,26,5,39,20,0,0,0,0,0,0,0,2,0,18,0,8,48,36,50,28,20,12,6,9,11,18,0,15,8,3,0,30,38,31,40,26,24,0,19,4
8,1633,1026,366,206,3231,"_IMG_0092_FU_P3_190123-26.mp4",2026-04-22,"FZ","P3","HOST","RESISTANT","JC","","LSTM","TL2",1,0.505416279789539,0.317548746518106,0.113277623026927,0.0637573506654287,2659,572,0.822965026307645,0.177034973692355,"test008",111,127,145,98,57,32,70,82,123,96,96,26,95,136,150,166,168,92,83,108,88,82,82,89,87,86,68,97,46,80,76,49,61,74,62,43,6,14,66,53,44,28,47,55,79,80,76,26,69,98,83,77,103,49,72,74,81,68,35,37,30,39,23,24,11,7,32,0,0,27,19,1,103,83,53,40,2,1,21,12,43,14,8,0,26,38,67,33,39,37,11,34,4,14,32,32,44,22,1,20,34,37,5,0,37,9,43,27,2,28,18,0,10,3,2,3,0,2,12,0,0,0,0,30,22,4,0,0,3,0,15,19,11,24,5,41,1,27,14,8,21,28,0,13,0,2,8,5,1,0,0,12,1,0,0,0,0,0,0,26,4,2,0,0,0,0,0,1,2,1,39,12,0,9,25,41,3,10,0,2
9,241,1454,99,53,1847,"_IMG_0093_FU_P3_190123-27.mp4",2026-04-22,"FZ","P3","HOST","RESISTANT","JC","","LSTM","TL2",1,0.130481862479697,0.787222523010287,0.0536004331348132,0.028695181375203,1695,152,0.917704385489984,0.0822956145100162,"test009",43,84,61,66,32,38,68,91,69,19,1,48,33,32,51,2,9,56,76,79,7,75,57,56,25,57,12,54,72,107,43,41,83,75,61,64,1,13,15,11,20,14,7,7,12,0,0,9,21,15,4,0,0,0,0,9,0,0,0,0,0,0,0,0,6,25,2,0,5,14,19,12,42,68,43,54,12,23,54,75,38,19,1,39,12,17,47,2,9,36,76,70,7,75,57,56,25,21,12,48,45,58,41,40,77,61,42,52,0,3,3,1,0,1,7,6,15,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,22,0,6,14,5,0,1,1,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,14,0,0,7,19,0,0,0,0,0,0
10,166,531,169,8,874,"_IMG_0094_FU_P3_230123-28.mp4",2026-04-22,"FZ","P3","HOST","RESISTANT","JC","","LSTM","TL2",1,0.189931350114416,0.607551487414188,0.193363844393593,0.0091533180778032,697,177,0.797482837528604,0.202517162471396,"test010",73,37,25,41,114,119,139,97,58,0,0,0,3,0,0,11,2,1,0,11,0,0,2,0,3,1,2,3,0,0,20,0,0,47,46,19,7,19,9,13,33,29,26,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,58,18,16,28,66,73,103,58,11,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,3,1,2,2,0,0,0,0,0,29,42,17,4,0,0,0,15,17,8,17,45,0,0,0,0,0,0,11,2,0,0,11,0,0,2,0,0,0,0,1,0,0,20,0,0,16,0,0,4,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
